"","year","list","name","last_name","net_worth_change.millions","age","source","industry","gender","country","timestamp","net_worth.realtime.millions","real_time.rank","real_time.position","squareImage","headquarters","state","title.company","position","rank","net_worth.millions","is.government","url.bio.forbes","url.image"
"1",2001,"Billionaires","Bill Gates","Gates",32.726,62,"","Technology","M","United States",2018-02-13 23:10:01,90691.925,2,2,"//specials-images.forbesimg.com/imageserve/59d502f931358e542c034e76/416x416.jpg?background=000000&cropX1=245&cropX2=2420&cropY1=636&cropY2=2813","WA","Washington",NA,1,1,58700,FALSE,"http://www.forbes.com/profile/bill-gates","http://i.forbesimg.com/media/lists/people/bill-gates_200x200.jpg"
"2",2001,"Billionaires","Warren Buffett",NA,-404.563,NA,"","Finance",NA,"United States",2018-02-13 23:10:01,85064.431,3,3,"//specials-images.forbesimg.com/imageserve/59d5055931358e542c034ead/416x416.jpg?background=000000&cropX1=46&cropX2=693&cropY1=159&cropY2=806","NE","Nebraska",NA,3,2,32300,FALSE,"http://www.forbes.com/profile/warren-buffett","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"3",2001,"Billionaires","Paul Allen","Allen",1.578,65,"","Technology","M","United States",2018-02-13 23:10:01,21728.309,43,43,"http://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/416x416.jpg?background=000000&cropX1=82&cropX2=675&cropY1=8&cropY2=601","WA","Washington",NA,5,3,30400,FALSE,"http://www.forbes.com/profile/paul-allen","http://i.forbesimg.com/media/lists/people/paul-allen_200x200.jpg"
"4",2001,"Billionaires","Lawrence Ellison",NA,364.906,NA,"","Software",NA,"United States",2018-02-13 23:10:01,59261.002,10,10,"//specials-images.forbesimg.com/imageserve/59d5069b31358e542c034ec1/416x416.jpg?background=000000&cropX1=0&cropX2=2000&cropY1=227&cropY2=2228","CA","California",NA,7,4,26000,FALSE,"http://www.forbes.com/profile/larry-ellison","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"5",2001,"Billionaires","Christoph Henkel","Henkel",-13.393,60,NA,"Fashion & Retail",NA,"Germany",2018-02-13 23:10:01,2006.217,1210,1210,"//specials-images.forbesimg.com/imageserve/58a1c89ba7ea431f32196433/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=56&cropY2=800",NA,NA,NA,10,5,5600,FALSE,"http://www.forbes.com/profile/christoph-henkel","http://i.forbesimg.com/media/lists/people/christoph-henkel_200x200.jpg"
"6",2001,"Billionaires","Prince Alwaleed Bin Talal Alsaud",NA,34.774,NA,"","Investments",NA,"Saudi Arabia",2018-02-13 23:10:01,17571.421,72,72,"//specials-images.forbesimg.com/imageserve/58a0795b4bbe6f0e55869730/416x416.jpg?background=000000&cropX1=167&cropX2=708&cropY1=19&cropY2=560",NA,"",NA,11,6,20000,FALSE,"http://www.forbes.com/profile/prince-alwaleed-bin-talal-alsaud","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"7",2001,"Billionaires","Jim Walton",NA,557.91,NA,"","Retail",NA,"United States",2018-02-13 23:10:01,47008.044,14,14,"//specials-images.forbesimg.com/imageserve/56d1b7cce4b0c144a7f6639f/416x416.jpg?background=000000&cropX1=110&cropX2=516&cropY1=35&cropY2=441","AR","Arkansas",NA,14,7,18800,FALSE,"http://www.forbes.com/profile/jim-walton","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"8",2001,"Billionaires","David Sainsbury",NA,NA,NA,"","Retail",NA,"United Kingdom",2011-07-01 17:38:30,NA,NA,NA,NA,NA,"",NA,15,8,4700,FALSE,"http://www.forbes.com/profile/david-sainsbury","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"9",2001,"Billionaires","S. Robson Walton",NA,550.8,NA,"","Retail",NA,"United States",2018-02-13 23:10:01,46703.157,16,16,"//specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=207&cropX2=1915&cropY1=82&cropY2=1791","AR","Arkansas",NA,18,9,18600,FALSE,"http://www.forbes.com/profile/s-robson-walton","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"10",2001,"Billionaires","Alice Walton",NA,554.245,NA,"","Retail",NA,"United States",2018-02-13 23:10:01,46652.232,17,17,"//specials-images.forbesimg.com/imageserve/59d50b364bbe6f37dd9ff759/416x416.jpg?background=000000&cropX1=97&cropX2=1126&cropY1=114&cropY2=1143","TX","Texas",NA,21,10,18500,FALSE,"http://www.forbes.com/profile/alice-walton","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"11",2001,"Billionaires","Johanna Quandt",NA,NA,NA,"",NA,NA,"Germany",2011-07-01 16:38:04,NA,NA,NA,NA,NA,"",NA,24,12,17800,FALSE,"http://www.forbes.com/profile/johanna-quandt","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"12",2001,"Billionaires","Steve Ballmer","Ballmer",284.927,61,"","Technology","M","United States",2018-02-13 23:10:01,39011.789,21,21,"//specials-images.forbesimg.com/imageserve/59d50c47a7ea436b47b36d66/416x416.jpg?background=000000&cropX1=656&cropX2=2920&cropY1=354&cropY2=2617","WA","Washington",NA,25,13,16600,FALSE,"http://www.forbes.com/profile/steve-ballmer","http://i.forbesimg.com/media/lists/people/steve-ballmer_200x200.jpg"
"13",2001,"Billionaires","Michael Kadoorie",NA,-0.162,NA,"",NA,NA,"Hong Kong",2018-02-13 23:10:01,7293.152,226,226,"//specials-images.forbesimg.com/imageserve/5a579f6da7ea431690109c1c/416x416.jpg?background=000000&cropX1=3&cropX2=1733&cropY1=435&cropY2=2165",NA,"",NA,26,13,3400,FALSE,"http://www.forbes.com/profile/michael-kadoorie","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"14",2001,"Billionaires","Liliane Bettencourt",NA,NA,NA,"","Pharmaceuticals",NA,"France",2011-07-01 16:54:24,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/58a1bdd131358e1a35ab3fc5/416x416.jpg?background=000000&cropX1=66&cropX2=713&cropY1=93&cropY2=741",NA,"",NA,29,15,15600,FALSE,"http://www.forbes.com/profile/liliane-bettencourt","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"15",2001,"Billionaires","Philip Anschutz",NA,-0.84,NA,"",NA,NA,"United States",2018-02-13 23:10:01,13082.521,112,112,"//specials-images.forbesimg.com/imageserve/58c1d4a4a7ea431f321add5b/416x416.jpg?background=000000&cropX1=23&cropX2=732&cropY1=37&cropY2=746","CO","Colorado",NA,33,16,15300,FALSE,"http://www.forbes.com/profile/philip-anschutz","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"16",2001,"Billionaires","Ingvar Kamprad",NA,NA,NA,"","Retail",NA,"Sweden",2011-07-01 17:17:17,NA,NA,NA,NA,NA,"",NA,34,17,13000,FALSE,"http://www.forbes.com/profile/ingvar-kamprad","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"17",2001,"Billionaires","Ka-shing Li",NA,90.364,NA,"",NA,NA,"Hong Kong",2018-02-13 23:10:01,34711.957,22,22,"//specials-images.forbesimg.com/imageserve/5a579aad31358e4955aa7d68/416x416.jpg?background=000000&cropX1=903&cropX2=3280&cropY1=109&cropY2=2485",NA,"",NA,36,18,12600,FALSE,"http://www.forbes.com/profile/li-ka-shing","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"18",2001,"Billionaires","Sumner Redstone",NA,73.195,NA,"","Media",NA,"United States",2018-02-13 23:10:01,4970.075,404,404,"//specials-images.forbesimg.com/imageserve/59d65d5a31358e542c035e47/416x416.jpg?background=000000&cropX1=0&cropX2=2289&cropY1=77&cropY2=2365","MA","Massachusetts",NA,37,18,12600,FALSE,"http://www.forbes.com/profile/sumner-redstone","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"19",2001,"Billionaires","Anne Cox Chambers","Chambers",NA,98,"","Media","F","United States",2012-05-15 21:23:15,NA,NA,NA,NA,"GA","Georgia",NA,42,21,11700,FALSE,"http://www.forbes.com/profile/anne-cox-chambers","http://i.forbesimg.com/media/lists/people/anne-cox-chambers_200x200.jpg"
"20",2001,"Billionaires","Kwok family",NA,57.218,NA,"","Real Estate",NA,"Hong Kong",2018-02-13 23:10:01,16429.308,82,82,"//specials-images.forbesimg.com/imageserve/5a579cfd4bbe6f2652f2517c/416x416.jpg?background=000000&cropX1=152&cropX2=1061&cropY1=6&cropY2=915",NA,"",NA,46,23,11500,FALSE,"http://www.forbes.com/profile/thomas-raymond-kwok","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"21",2001,"Billionaires","Carlos Slim Helu",NA,199.149,NA,"",NA,NA,"Mexico",2018-02-13 23:10:01,67823.423,7,7,"//specials-images.forbesimg.com/imageserve/58cb037d4bbe6f0e5588c0bb/416x416.jpg?background=000000&cropX1=188&cropX2=744&cropY1=271&cropY2=827",NA,"",NA,50,25,10800,FALSE,"http://www.forbes.com/profile/carlos-slim-helu","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"22",2001,"Billionaires","Bernard Arnault",NA,-1059.164,NA,"",NA,NA,"France",2018-02-13 23:10:01,72935.673,4,4,"//specials-images.forbesimg.com/imageserve/58a1148831358e1a35ab3b5c/416x416.jpg?background=000000&cropX1=678&cropX2=1789&cropY1=96&cropY2=1207",NA,"",NA,51,26,10700,FALSE,"http://www.forbes.com/profile/bernard-arnault","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"23",2001,"Billionaires","Ernesto Bertarelli",NA,3.283,NA,"","Pharmaceuticals",NA,"Switzerland",2018-02-13 23:10:01,8946.262,180,180,"//specials-images.forbesimg.com/imageserve/58a28ca9a7ea431f3219767c/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=37&cropY2=781",NA,"",NA,53,27,10500,FALSE,"http://www.forbes.com/profile/ernesto-bertarelli","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"24",2001,"Billionaires","Michael Dell",NA,-1.853,NA,"",NA,NA,"United States",2018-02-13 23:10:01,22864.557,40,40,"//specials-images.forbesimg.com/imageserve/58c1d2e731358e1a35acba6b/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=163&cropY2=907","TX","Texas",NA,54,27,10500,FALSE,"http://www.forbes.com/profile/michael-dell","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"25",2001,"Billionaires","Silvio Berlusconi",NA,-81.14,NA,"",NA,NA,"Italy",2018-02-13 23:10:01,7867.021,206,206,"//specials-images.forbesimg.com/imageserve/589fada14bbe6f0e55868f25/416x416.jpg?background=000000&cropX1=92&cropX2=648&cropY1=56&cropY2=612",NA,"",NA,55,29,10300,FALSE,"http://www.forbes.com/profile/silvio-berlusconi","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"26",2001,"Billionaires","Abigail Johnson",NA,0,NA,"","Finance",NA,"United States",2018-02-13 23:10:01,16058.518,89,89,"http://specials-images.forbesimg.com/imageserve/57e570c54bbe6f24d1f891b6/416x416.jpg?background=000000&cropX1=63&cropX2=615&cropY1=68&cropY2=621","MA","Massachusetts",NA,56,30,9100,FALSE,"http://www.forbes.com/profile/abigail-johnson","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"27",2001,"Billionaires","Forrest Mars",NA,NA,NA,"","Food",NA,"United States",2011-07-01 17:57:39,NA,NA,NA,NA,"VA","Virginia",NA,57,31,9000,FALSE,"http://www.forbes.com/profile/forrest-mars-jr","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"28",2001,"Billionaires","Jacqueline Mars",NA,0,NA,"","Food",NA,"United States",2018-02-13 23:10:01,23729.234,34,34,"//specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889","NJ","New Jersey",NA,58,31,9000,FALSE,"http://www.forbes.com/profile/jacqueline-mars","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"29",2001,"Billionaires","John Mars",NA,0,NA,"","Food",NA,"United States",2018-02-13 23:10:01,23729.234,34,35,NA,"VA","Virginia",NA,59,31,9000,FALSE,"http://www.forbes.com/profile/john-mars","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"30",2001,"Billionaires","Birgit Rausing",NA,NA,NA,"","Manufacturing",NA,"Sweden",2011-07-01 16:40:41,NA,NA,NA,NA,NA,"",NA,60,31,9000,FALSE,"http://www.forbes.com/profile/birgit-rausing","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"31",2001,"Billionaires","Charles Ergen","Ergen",67.39,64,"","Media","M","United States",2018-02-13 23:10:01,13641.862,109,109,"//specials-images.forbesimg.com/imageserve/59d55b4331358e542c035479/416x416.jpg?background=000000&cropX1=1400&cropX2=3175&cropY1=55&cropY2=1832","CO","Colorado",NA,61,35,8800,FALSE,"http://www.forbes.com/profile/charles-ergen","http://i.forbesimg.com/media/lists/people/charles-ergen_200x200.jpg"
"32",2001,"Billionaires","Robert E ""Ted"" Turner",NA,0,NA,"","Media",NA,"United States",2018-02-13 23:10:01,2226.536,1085,1085,"http://specials-images.forbesimg.com/imageserve/57e18f6ea7ea430a8a1a0d81/416x416.jpg?background=000000&cropX1=55&cropX2=733&cropY1=85&cropY2=763","GA","Georgia",NA,62,35,8800,FALSE,"http://www.forbes.com/profile/ted-turner","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"33",2001,"Billionaires","Rupert Murdoch",NA,109.102,NA,"","Media",NA,"United States",2018-02-13 23:10:01,15352.166,94,94,"http://specials-images.forbesimg.com/imageserve/57e5848031358e16c589dd43/416x416.jpg?background=000000&cropX1=35&cropX2=713&cropY1=47&cropY2=725","NY","New York",NA,65,39,7800,FALSE,"http://www.forbes.com/profile/rupert-murdoch","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"34",2001,"Billionaires","Hans Rausing",NA,0,NA,"","Manufacturing",NA,"Sweden",2018-02-13 23:10:01,12500,125,125,"//specials-images.forbesimg.com/imageserve/58a287e831358e1a35ab5409/416x416.jpg?background=000000&cropX1=77&cropX2=716&cropY1=92&cropY2=732",NA,"",NA,66,40,7700,FALSE,"http://www.forbes.com/profile/hans-rausing","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"35",2001,"Billionaires","Yang Huiyan","Yang",34.588,36,"real estate","Real Estate","F","China",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/5a0b1b83a7ea436b47b558ba/416x416.jpg?background=000000&cropX1=1&cropX2=600&cropY1=3&cropY2=602",NA,"Guangdong","Country Garden Holdings",42,42,21955.172,FALSE,"http://www.forbes.com/profile/yang-huiyan","http://i.forbesimg.com/media/lists/people/yang-huiyan_200x200.jpg"
"36",2001,"Billionaires","Azim Premji",NA,0,NA,"",NA,NA,"India",2018-02-13 23:10:01,18998.574,63,63,"//specials-images.forbesimg.com/imageserve/59cbf32f4bbe6f37dd9f8dff/416x416.jpg?background=000000&cropX1=560&cropX2=2168&cropY1=0&cropY2=1607",NA,"",NA,68,42,6900,FALSE,"http://www.forbes.com/profile/azim-premji","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"37",2001,"Billionaires","Leonardo Del Vecchio",NA,-263.81,NA,"","Manufacturing",NA,"Italy",2018-02-13 23:10:01,21279.888,44,44,"//specials-images.forbesimg.com/imageserve/589f9937a7ea431f32194cce/416x416.jpg?background=000000&cropX1=37&cropX2=644&cropY1=34&cropY2=642",NA,"",NA,69,43,6600,FALSE,"http://www.forbes.com/profile/leonardo-del-vecchio","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"38",2001,"Billionaires","Amancio Ortega",NA,-1179.671,NA,"","Apparel",NA,"Spain",2018-02-13 23:10:01,69992.634,5,5,"//specials-images.forbesimg.com/imageserve/58a2793131358e1a35ab535a/416x416.jpg?background=000000&cropX1=205&cropX2=744&cropY1=26&cropY2=566",NA,"",NA,70,43,6600,FALSE,"http://www.forbes.com/profile/amancio-ortega","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"39",2001,"Billionaires","Gerald Cavendish Grosvenor",NA,NA,NA,"","Real Estate",NA,"United Kingdom",2011-07-01 17:39:19,NA,NA,NA,NA,NA,"",NA,71,45,6500,FALSE,"http://www.forbes.com/profile/gerald-cavendish-grosvenor","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"40",2001,"Billionaires","Kirk Kerkorian",NA,NA,NA,"","Finance",NA,"United States",2011-07-01 16:46:07,NA,NA,NA,NA,"NV","Nevada",NA,72,46,6400,FALSE,"http://www.forbes.com/profile/kirk-kerkorian","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"41",2001,"Billionaires","Francois Pinault",NA,-951.743,NA,"",NA,NA,"France",2018-02-13 23:10:01,26906.03,30,30,"//specials-images.forbesimg.com/imageserve/58a1b7f9a7ea431f321962a1/416x416.jpg?background=000000&cropX1=66&cropX2=744&cropY1=127&cropY2=805",NA,"",NA,73,47,6300,FALSE,"http://www.forbes.com/profile/francois-pinault","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"42",2001,"Billionaires","Charles Schwab",NA,29.258,NA,"","Finance",NA,"United States",2018-02-13 23:10:01,9558.757,165,165,"//specials-images.forbesimg.com/imageserve/56d0bfd2e4b0c144a7f65b42/416x416.jpg?background=000000&cropX1=129&cropX2=615&cropY1=42&cropY2=529","CA","California",NA,74,47,6300,FALSE,"http://www.forbes.com/profile/charles-schwab","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"43",2001,"Billionaires","Zhou Hongyi","Zhou",2021.055,47,"security software","Technology","M","China",2018-02-13 23:10:01,NA,NA,NA,"//specials-images.forbesimg.com/imageserve/589f2f00a7ea431f321947dc/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=306&cropY2=1050",NA,"Beijing",NA,49,49,20729.035,FALSE,"http://www.forbes.com/profile/zhou-hongyi","http://i.forbesimg.com/media/lists/people/zhou-hongyi_200x200.jpg"
"44",2001,"Billionaires","Nasser Al-Kharafi","Al-Kharafi",NA,74,"","Diversified","M","Kuwait",2012-05-15 21:23:02,NA,NA,NA,NA,NA,NA,NA,76,50,6000,FALSE,"http://www.forbes.com/profile/nasser-al-kharafi","http://i.forbesimg.com/media/lists/people/nasser-al-kharafi_200x200.jpg"
"45",2001,"Billionaires","George Soros",NA,0,NA,"","Finance",NA,"United States",2018-02-13 23:10:01,8000,204,204,"//specials-images.forbesimg.com/imageserve/59d50e1f4bbe6f37dd9ff7dd/416x416.jpg?background=000000&cropX1=931&cropX2=2948&cropY1=485&cropY2=2501","NY","New York",NA,77,50,6000,FALSE,"http://www.forbes.com/profile/george-soros","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"46",2001,"Billionaires","Shau Kee Lee",NA,203.927,NA,"","Real Estate",NA,"Hong Kong",2018-02-13 23:10:01,30464.526,25,25,"//specials-images.forbesimg.com/imageserve/5a579beba7ea431690109b54/416x416.jpg?background=000000&cropX1=24&cropX2=1040&cropY1=66&cropY2=1082",NA,"",NA,78,52,5900,FALSE,"http://www.forbes.com/profile/lee-shau-kee","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"47",2001,"Billionaires","Eli Broad",NA,0,NA,"","Real Estate",NA,"United States",2018-02-13 23:10:01,7260,229,229,"//specials-images.forbesimg.com/imageserve/59d58b7731358e542c03573e/416x416.jpg?background=000000&cropX1=1264&cropX2=2657&cropY1=150&cropY2=1542","CA","California",NA,79,53,5800,FALSE,"http://www.forbes.com/profile/eli-broad","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"48",2001,"Billionaires","James Goodnight","Goodnight",0,75,"","Technology","M","United States",2018-02-13 23:10:01,9086.289,176,176,"//specials-images.forbesimg.com/imageserve/5949812c31358e63562e7d21/416x416.jpg?background=000000&cropX1=591&cropX2=1628&cropY1=73&cropY2=1110","NC","North Carolina",NA,80,54,5700,FALSE,"http://www.forbes.com/profile/james-goodnight","http://i.forbesimg.com/media/lists/people/james-goodnight_200x200.jpg"
"49",2001,"Billionaires","Masayoshi Son",NA,420.856,NA,"","Software",NA,"Japan",2018-02-13 23:10:01,23196.179,38,38,"//specials-images.forbesimg.com/imageserve/58de6dcfa7ea437ada25c418/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=55&cropY2=799",NA,"",NA,82,55,5600,FALSE,"http://www.forbes.com/profile/masayoshi-son","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"50",2001,"Billionaires","Luciano Benetton",NA,-34.659,NA,"","Apparel",NA,"Italy",2018-02-13 23:10:01,3470.549,659,659,"//specials-images.forbesimg.com/imageserve/589f9b8031358e1a35ab2beb/416x416.jpg?background=000000&cropX1=72&cropX2=715&cropY1=21&cropY2=664",NA,"",NA,83,57,5500,FALSE,"http://www.forbes.com/profile/luciano-benetton","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"51",2001,"Billionaires","Thomas Pritzker",NA,19.627,NA,"","Real Estate",NA,"United States",2018-02-13 23:10:01,4133.262,529,529,"//specials-images.forbesimg.com/imageserve/7dd7043c48edb3bd30804e026ddab444/416x416.jpg?background=000000&cropX1=142&cropX2=743&cropY1=308&cropY2=909","IL","Illinois",NA,85,57,5500,FALSE,"http://www.forbes.com/profile/thomas-pritzker","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"52",2001,"Billionaires","Curt Engelhorn",NA,NA,NA,"","Pharmaceuticals",NA,"Germany",2011-07-01 16:47:12,NA,NA,NA,NA,NA,"",NA,86,60,5400,FALSE,"http://www.forbes.com/profile/curt-engelhorn","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"53",2001,"Billionaires","Gordon Moore",NA,-55.415,NA,"",NA,NA,"United States",2018-02-13 23:10:01,8612.322,183,183,"http://specials-images.forbesimg.com/imageserve/9032bff5e34d21282fd3b61994953d63/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=40&cropY2=784","CA","California",NA,88,60,5400,FALSE,"http://www.forbes.com/profile/gordon-moore","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"54",2001,"Billionaires","Hasso Plattner",NA,-51.547,NA,"","Software",NA,"Germany",2018-02-13 23:10:01,12749.69,119,119,"http://specials-images.forbesimg.com/imageserve/57a349b031358e4fd70bd8b3/416x416.jpg?background=000000&cropX1=64&cropX2=697&cropY1=48&cropY2=681",NA,"",NA,89,60,5400,FALSE,"http://www.forbes.com/profile/hasso-plattner","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"55",2001,"Billionaires","Gustavo Cisneros",NA,0,NA,"","Media",NA,"Venezuela",2018-02-13 23:10:01,1074.17,1920,1920,"//specials-images.forbesimg.com/imageserve/58a0df4d4bbe6f0e55869d80/416x416.jpg?background=000000&cropX1=137&cropX2=730&cropY1=131&cropY2=724",NA,"",NA,90,64,5300,FALSE,"http://www.forbes.com/profile/gustavo-cisneros","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"56",2001,"Billionaires","Walter Haefner",NA,NA,NA,"",NA,NA,"Switzerland",2011-07-01 17:10:55,NA,NA,NA,NA,NA,"",NA,92,64,5300,FALSE,"http://www.forbes.com/profile/walter-haefner","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"57",2001,"Billionaires","Stefan Persson",NA,70.035,NA,"","Retail",NA,"Sweden",2018-02-13 23:10:01,17004.283,76,76,"//specials-images.forbesimg.com/imageserve/58a28a5a4bbe6f0e5586bc2a/416x416.jpg?background=000000&cropX1=0&cropX2=652&cropY1=121&cropY2=774",NA,"",NA,93,64,5300,FALSE,"http://www.forbes.com/profile/stefan-persson","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"58",2001,"Billionaires","Donald Newhouse",NA,-4.102,NA,"","Media",NA,"United States",2018-02-13 23:10:01,12504.866,124,124,"//specials-images.forbesimg.com/imageserve/59d5617da7ea436b47b371ca/416x416.jpg?background=000000&cropX1=39&cropX2=1943&cropY1=296&cropY2=2202","NJ","New Jersey",NA,96,70,5000,FALSE,"http://www.forbes.com/profile/donald-newhouse","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"59",2001,"Billionaires","Samuel Newhouse",NA,NA,NA,"","Media",NA,"United States",2011-07-01 16:57:51,NA,NA,NA,"http://specials-images.forbesimg.com/imageserve/57e584fa31358e16c589dd4c/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=69&cropY2=813","NY","New York",NA,97,70,5000,FALSE,"http://www.forbes.com/profile/samuel-irving-newhouse-jr","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"60",2001,"Billionaires","Michael Otto",NA,0,NA,"","Retail",NA,"Germany",2018-02-13 23:10:01,11012.261,142,142,"//specials-images.forbesimg.com/imageserve/58a1e10e4bbe6f0e5586aa0d/416x416.jpg?background=000000&cropX1=55&cropX2=744&cropY1=56&cropY2=746",NA,"",NA,98,70,5000,FALSE,"http://www.forbes.com/profile/michael-otto","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"61",2001,"Billionaires","August von Finck",NA,-29.523,NA,"","Investments",NA,"Germany",2018-02-13 23:10:01,9251.352,172,172,"//specials-images.forbesimg.com/imageserve/58a1c68131358e1a35ab40c2/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=90&cropY2=834",NA,"",NA,99,70,5000,FALSE,"http://www.forbes.com/profile/august-von-finck","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"62",2001,"Billionaires","Alain &#38; Gerard Wertheimer",NA,0,NA,"","Apparel",NA,"France",2018-02-13 23:10:01,12957.535,116,117,"//specials-images.forbesimg.com/imageserve/58a1bba131358e1a35ab3faa/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=95&cropY2=839",NA,"",NA,100,70,5000,FALSE,"http://www.forbes.com/profile/gerard-wertheimer-1","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"63",2001,"Billionaires","Serge Dassault",NA,139.804,NA,"",NA,NA,"France",2018-02-13 23:10:01,23130.288,39,39,"//specials-images.forbesimg.com/imageserve/58a1c21ba7ea431f32196361/416x416.jpg?background=000000&cropX1=71&cropX2=691&cropY1=274&cropY2=894",NA,"",NA,101,75,4900,FALSE,"http://www.forbes.com/profile/serge-dassault","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"64",2001,"Billionaires","Gunter Herz",NA,-4.256,NA,"","Retail",NA,"Germany",2018-02-13 23:10:01,3932.645,567,568,"//specials-images.forbesimg.com/imageserve/58a1d3a331358e1a35ab4263/416x416.jpg?background=000000&cropX1=87&cropX2=630&cropY1=95&cropY2=638",NA,"",NA,102,76,4800,FALSE,"http://www.forbes.com/profile/guenter-herz","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"65",2001,"Billionaires","Tadashi Yanai",NA,-205.525,NA,"","Apparel",NA,"Japan",2018-02-13 23:10:01,19288.469,59,59,"//specials-images.forbesimg.com/imageserve/58de6e2b4bbe6f1aff454732/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=122&cropY2=866",NA,"",NA,103,76,4800,FALSE,"http://www.forbes.com/profile/tadashi-yanai","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
"66",2001,"Billionaires","Rolf Gerling",NA,0,NA,"","Insurance",NA,"Germany",2018-02-13 23:10:01,1737.049,1354,1354,NA,NA,"",NA,104,78,4700,FALSE,"http://www.forbes.com/profile/rolf-gerling","http://i.forbesimg.com/media/lists/people/no-pic_200x200.jpg"
